,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14,uid,sid,control,transitionType,interfaceID
184,6,2,2,5,1,4,5,4,1,1,3,Somewhat agree,7,Strongly agree,7,Strongly agree,1,The interface can be improved by a faster direction movement and rotation to make it more intuitive ,Strongly agree,The interface can be improved by allowing the use of arrow key or customized keys one is comfortable with,Strongly disagree,Strongly agree,It can be improved by having an undo button to delete last performed action,Strongly agree,40,Male,"Everyday, during a majority of business hours",Once or twice a week,Action and Adventure games,A trackpad,I used a trackpad to move the cursor because I am using a laptop and it was the best option available for me,Trackpad buttons,The trackpad buttons on my laptop were used for clicking,It can be improved by assigning keys to the directions and making them move faster,Strongly agree,Neither agree/nor disagree,Somewhat agree,The interface is great already just those few improvements are required,jx8NomDFx4TPbvxClJfRJeHxAgy2,-MHOC4bXV_4Zw0NGzvCO,panel,click,panel-click
185,6,6,6,6,6,5,6,6,4,4,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,good,Strongly agree,really nice,Strongly agree,Somewhat agree,doing will,Strongly agree,35,Female,"Everyday, a few hours",Once or twice a week,ICCL GAME,A mouse,Nothing,Mouse buttons,Nothing,very will,Strongly agree,Somewhat agree,Strongly agree,really nice,lOOYsHyKTlQ4nK7Hm5Ij2g4VcrM2,-MGz20ja_xrL_aU8dJLy,targetdrag,press/release,targetdrag-press/release
186,2,1,1,1,1,4,5,5,2,1,2,Strongly agree,7,Strongly agree,7,Strongly agree,1,I can't think of anything that I would change on the control interface.  It was easy to operate and very intuitive.,Strongly agree,"The only thing that I can think of is a feature where with rapid mouse clicking, the angle can quickly rotate in 5 degree increments.",Strongly disagree,Strongly agree,The only thing that I can think of is a feature that allows the user to expand or contract the size of the ring in order to be more accurate with positioning.,Strongly agree,54,Male,"Everyday, during a majority of business hours",Once or twice a week,Strategy and sports games,A mouse,I was using a standard wired mouse.,Mouse buttons,I was using a standard wired mouse with standard left click and right click buttons.,The only thing that I can think of is a feature where the ring could be operated via the touch pad for people who have accessibility issues that prevent them from using a mouse.,Strongly agree,Strongly disagree,Somewhat disagree,The only other suggestion I can think of is to change the color of the ring to make it a unique and different color from the target as that will allow greater differentiation between the two objects and will improve the ability to quickly align to the target.,lPbWTg03SaPcgHDQwTRizh8tLWA3,-MGyyPlLDtFSQocX0thX,target,click,target-click
187,6,4,3,6,5,4,4,3,3,2,5,Somewhat agree,6,Strongly agree,6,Somewhat agree,3,it's enough good,Somewhat agree,Make faster,Somewhat agree,Somewhat agree,there is no error,Somewhat agree,32,Female,"Everyday, during a majority of business hours",Once or twice a week,fighting games,A mouse,I am using mouse to move cursor,Mouse buttons,i am using mouse button for clicking,already good accessible,Somewhat agree,Somewhat disagree,Somewhat disagree,no,lQZ78t6NlGP94boYip5AMEP0ZQQ2,-MGsvXW5zs9OoqAJUGhi,targetdrag,click,targetdrag-click
188,2,3,1,4,2,5,2,3,1,3,2,Somewhat agree,4,Strongly agree,2,Neither agree/nor disagree,4,It is already better study.,Somewhat agree,It is already better study.,Neither agree/nor disagree,Strongly agree,It is already better study.,Neither agree/nor disagree,35,Female,"Everyday, a few hours","Everyday, a few hours",puzzle,A mouse,,Mouse buttons,,It is already better study.,Somewhat agree,Strongly agree,Neither agree/nor disagree,It is already better study.,lY0x0xPXxddg66krC5H9nmKoVjB3,-MHOViUidCSD6jFbVAth,targetdrag,click,targetdrag-click
189,2,1,1,4,3,4,5,6,2,1,4,Strongly agree,6,Strongly agree,5,Strongly agree,2,"I think it was incredibly intuitive. As long as the instructions are clear as they were here (the video helped) I think pretty much anyone could get it (Instructions need to be clear as, had I just seen the interface with no clear instructions and practice, I would have thought you'd need to drag the circle to the correct spot, which would have been very hard.)",Strongly agree,"I couldn't think of a faster interface than a simple click! I really like the interface, but maybe making the ring slightly larger would help. There were times I was trying to click on the ring and just barely hit the inside of the ring, enough to move the whole thing.",Somewhat disagree,Somewhat agree,"The only errors I encountered, as I said, were in relation to accidentally clicking on the interior rather than the ring. Making the ring a bit bigger would help that.",Somewhat agree,49,Female,"Everyday, during a majority of business hours","Everyday, a few hours","first person shooters (Borderlands, COD), RPGs (Skyrim, etc), a huge variety of VR games (Oculus Rift)",A trackpad,"Nothing I can think of. It's a simple laptop trackpad, works fine, sensitivity tuned to my liking.",Trackpad buttons,Nothing I can think of. Just an average laptop trackpad.,"As I said, making the ring slightly larger would help. It could help prevent clicking on the interior rather than the ring by accident.This might be especially irritating for someone using an assistive device.",Strongly agree,Somewhat disagree,Somewhat disagree,"As I said, the only real issue I had was the size of the ring. Other than that, it was very interesting, and rather simple to use. The point and click system is easy (as opposed to click and drag, which would have made it a nightmare!)",m07sNJxA53YwMEH5UR8v5RuPjPA2,-MGsoSdp6N5uBUXuXtL4,target,click,target-click
190,6,2,2,6,2,4,6,5,2,1,6,Somewhat agree,6,Strongly agree,7,Somewhat agree,3,improve fast move target,Somewhat agree,very fast move target,Somewhat agree,Strongly agree,reduce error perfectly,Somewhat agree,30,Male,"Everyday, less than an hour","Everyday, a few hours","tetris,pong",A mouse,no,Mouse buttons,no,target move access fastly accesss,Somewhat agree,Somewhat agree,Strongly agree,no,m4rWm6OKHrb9g6rV2YRznntYncM2,-MGtBQDiScVBKQWmyoEv,drag,click,drag-click
191,7,5,6,7,5,7,6,5,2,1,7,Somewhat agree,7,Neither agree/nor disagree,3,Somewhat agree,4,practice,Somewhat agree,practice,Somewhat agree,Strongly agree,na,Somewhat agree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",race,A mouse,mouse,Mouse buttons,mouse,na,Somewhat agree,Neither agree/nor disagree,Somewhat agree,na,mk9WVl9yz4cm4wKfvS2kN2Ky2mW2,-MGt-_2OaNoY_zpb_MdV,panel,click,panel-click
192,6,4,5,4,5,6,5,6,4,4,5,Somewhat agree,6,Somewhat agree,6,Neither agree/nor disagree,6,nice,Somewhat agree,very move,Somewhat agree,Somewhat agree,slightly error,Somewhat agree,32,Male,"Everyday, during a majority of business hours",Rarely,chess,A mouse,very quick move to use mouse,Mouse buttons,very fast to reach green point use mouse button.,very quick,Somewhat agree,Neither agree/nor disagree,Somewhat agree,very fast,n3IaI2dEulciScGje3nvc0VI9Sg1,-MHOUjqNzdCy-ga0IHYs,target,click,target-click
193,2,2,2,1,1,1,3,6,2,2,2,Somewhat agree,7,Strongly agree,7,Strongly agree,1,I think it's fine the way it is I didn't see any issues with it,Strongly agree,I think it was fine the way it is,Strongly disagree,Strongly agree,I is fine as is,Strongly agree,47,Female,"Everyday, during a majority of business hours","Everyday, a few hours",Simulation,A mouse,None,Mouse buttons,None,I don't see it needs to be changed.,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,I think it worked easy as it is.,nRjmBA7iSudVkGCxuqULvrNnw563,-MGynhEJpoKO4JBxNVod,arrow,press/release,arrow-press/release
194,7,3,5,5,4,5,3,5,1,1,5,Neither agree/nor disagree,5,Strongly agree,7,Strongly agree,6,practice,Somewhat agree,move it properly,Strongly disagree,Neither agree/nor disagree,lot,Strongly agree,28,Male,"Everyday, during a majority of business hours",Once or twice a week,car race,A mouse,it is very easy to handle,Mouse buttons,we click the right,more concentration,Somewhat agree,Somewhat disagree,Strongly disagree,no,nYv6RjJAQbSRy5NRnVl9cJo9d7D3,-MGz8bIDW4hhe93GXLmU,arrow,press/release,arrow-press/release
195,1,1,1,1,1,1,3,7,2,2,1,Somewhat agree,7,Strongly agree,6,Strongly agree,1,I can't really think of anything. Maybe click and drag instead of one click on one click off,Somewhat agree,"Again, click and drag is more precise",Somewhat disagree,Neither agree/nor disagree,"Again, click and drag is easier to fix errors. less clicks",Neither agree/nor disagree,29,Male,"Everyday, during a majority of business hours","Everyday, a few hours",MOBA and MMORPG's,A mouse,,Mouse buttons,It occasionally double clicks on accident,I really have no idea I have no idea what an assistive device is,Strongly agree,Neither agree/nor disagree,Somewhat agree,Nothing else I can think of besides switching to click and drag,o1g0uLUQEIcchdYw1DTJLEvvHCm2,-MGspdGyjIT6Q6_ZkeGS,drag,click,drag-click
196,7,5,7,6,7,6,7,6,1,1,7,Strongly agree,6,Somewhat agree,6,Strongly agree,5,Yes,Strongly agree,Yes,Strongly agree,Somewhat agree,yes,Strongly agree,34,Female,"Everyday, a few hours","Everyday, a few hours",yes,A mouse,I am mostly use for the mouse,Mouse buttons,This clicking for mostly,yes,Strongly agree,Somewhat agree,Strongly agree,Yes,oDEQPx7EEtU1Ztjdb0QvVI27Q9X2,-MGt3EuNStXV9WGB9Hft,target,click,target-click
197,5,7,5,6,5,6,5,5,5,5,4,Somewhat agree,5,Neither agree/nor disagree,5,Strongly agree,6,nice,Somewhat agree,good,Somewhat agree,Strongly agree,nothing,Somewhat agree,30,Male,"Everyday, during a majority of business hours",Once or twice a week,car game,A mouse,well,Mouse buttons,well,good,Somewhat agree,Strongly agree,Neither agree/nor disagree,good,p7GDiPrUenOpvapdBGkb1Ht6ZOe2,-MHO2NvrmtoS4h9whF28,drag,click,drag-click
198,3,2,1,1,1,1,5,7,3,4,2,Strongly agree,5,Strongly agree,4,Strongly agree,3,I do not have any suggestions to make the interface more intuitive.,Strongly agree,A speed meter could be added to adjust the speed by which the controls move the object when a control is held down. Also adding a control for making drastic changes such as rotating 180 degrees or moving by 20 space and so on would allow faster control.,Strongly disagree,Strongly agree,I do not have any suggestions to improve the interface to reduce errors.,Strongly agree,35,Male,"Everyday, during a majority of business hours",Once or twice a week,I play first-person shooter games the most.,A mouse,I use a standard computer mouse.,Mouse buttons,I used a standard mouse with standard buttons.,Allow alternative input methods such as voice might make the interface more accessible.,Strongly agree,Strongly agree,Strongly agree,I do not have any other suggestions for improve the control interface.,pFWXKvmsDPewZjAw4iWxEHA0ro82,-MGyqoKwbLgk8xRtaMga,panel,press/release,panel-press/release
199,7,6,7,6,5,7,6,7,1,2,6,Somewhat agree,5,Strongly agree,7,Somewhat agree,1,yes improved intuitive,Somewhat agree,yes i improved to control,Strongly agree,Somewhat agree,no,Strongly agree,31,Male,"Everyday, a few hours","Everyday, less than an hour","yes,most of play game is very task complited",A mouse,yes,Mouse buttons,mouse button right and left ,yes better accessbillty,Strongly agree,Somewhat agree,Strongly agree,yes improved to my control,pP7gtjNVyrR8l2r9rUpb9VYEGAh2,-MGywQaQzmBA3KMhoTBQ,target,click,target-click
200,5,6,2,1,1,3,2,4,2,3,2,Somewhat agree,5,Strongly agree,1,Strongly agree,4,The degree in which the arrow turned could be smoother. it was more difficult to turn the arrow to it's correct position because of the amount at which it turned made it a little hard to position correctly.,Neither agree/nor disagree,I think the interface worked fine.,Neither agree/nor disagree,Neither agree/nor disagree,it was hard to understand at first but it was easy to pick up on.,Strongly agree,43,Male,"Everyday, during a majority of business hours",Rarely,none,A mouse,a simple 3 button mouse,Mouse buttons,a left and right clicker and a scroll wheel,it was fine.,Somewhat agree,Somewhat agree,Strongly disagree,it could be able to rotate a little smoother.,pRy44jh1blXeCsQbssAGmbsIMRS2,-MHOKt-VLNEYEdaJUlwl,targetdrag,click,targetdrag-click
201,7,7,1,7,7,7,7,7,7,7,7,Somewhat disagree,2,Strongly agree,2,Somewhat agree,7,unsure,Strongly agree,unsure,Strongly agree,Strongly agree,unsure,Strongly agree,35,Male,"Everyday, during a majority of business hours",Once or twice a week,magic the gathering DOTA 2,A mouse,its a track ball mouse,Mouse buttons,,unsure,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,unsure,q55uaeRd0XeVSt1H6WcbWTZdzsy2,-MGtD2t3CPThcHjEnuhy,targetdrag,click,targetdrag-click
202,7,4,1,6,5,6,4,6,1,1,7,Somewhat agree,7,Strongly agree,7,Strongly agree,5,followed as per the instruction,Somewhat agree,as per the instruction,Somewhat disagree,Somewhat agree,easy to reduce and automatic taken a shape of the system,Somewhat agree,35,Female,"Everyday, during a majority of business hours","Everyday, a few hours",adventure and IQ games,A mouse,optical mouse and comfortable external keyboard.,Mouse buttons,optical mouse button can use clicking on my computer.,moving arrow symbol and very comfortable to rotate.,Strongly agree,Strongly disagree,Strongly agree,to be followed as per the instruction can be easily improved.,qAs3lx0U0JPfH6ywgremSryGXF82,-MH-lstGeonhMH8HJ7ak,panel,press/release,panel-press/release
203,3,2,1,2,7,2,7,2,1,1,1,Strongly agree,7,Somewhat agree,3,Strongly agree,7,No,Somewhat disagree,No,Strongly disagree,Strongly disagree,No,Strongly agree,32,Male,"Everyday, during a majority of business hours","Everyday, a few hours",MARIO,A mouse,,Mouse buttons,,No,Strongly agree,Somewhat disagree,Strongly agree,No,qMwVeH3ZC0amcOOjh2OLoJOcOwF3,-MHOIXiZkiba1JgmKncG,target,click,target-click
204,3,2,2,4,2,2,4,4,2,2,4,Somewhat agree,6,Somewhat agree,6,Strongly agree,6,probably limiting the number of practise trials,Somewhat agree,disable the continuous movement of the object,Strongly disagree,Somewhat agree,did not experience any errors so it could be maintained as it is,Strongly agree,30,Male,"Everyday, a few hours","Everyday, less than an hour",Action and mission based games,A mouse,"it was just perfect,did the job well",Mouse buttons,a wireless and rechargeable mouse with both left and right click buttons,possible and faster cursor movement,Somewhat agree,Somewhat disagree,Somewhat disagree,not at all,qa6QZa47ncQRKryQU9r9APDxy533,-MHOFGsHN-Y0iqeXEOVO,panel,click,panel-click
205,6,2,6,5,4,7,7,5,2,2,6,Strongly agree,6,Somewhat agree,7,Strongly agree,2,THere will no need to improve ,Somewhat agree,That move my finger faster ,Neither agree/nor disagree,Strongly disagree,There was not errors ,Strongly disagree,38,Female,"Everyday, a few hours",Once or twice a week,tertis ,A trackpad,It was easy to used ,Trackpad buttons,it was easy to click it. ,There no interface to be improved ,Neither agree/nor disagree,Strongly disagree,Strongly disagree,IT was easy to do ,r1dLxh5iBybSiTrTr8Gvzupj9QR2,-MHON-XPAMxR90_L9a07,drag,click,drag-click
206,5,6,2,4,6,4,5,5,5,4,4,Somewhat agree,5,Strongly agree,5,Somewhat agree,5,study mind  behavior will improved ,Somewhat agree,long press on the side of object will improved,Somewhat agree,Neither agree/nor disagree,set on the surface ,Somewhat agree,25,Female,"Everyday, a few hours","Everyday, less than an hour",vice city,A mouse,mouse ,Mouse buttons,mouse ,moving the object accessibility for interface,Somewhat agree,Neither agree/nor disagree,Somewhat agree,no,rXUtLO71dyX7zdpelNf9FOcJC0v2,-MJdIOSFHq3VZyZgZLIC,panel,press/release,panel-press/release
207,4,2,2,2,2,2,2,3,4,3,3,Strongly agree,4,Strongly agree,4,Strongly agree,4,I honestly do not know because it is already pretty intuitive ,Somewhat agree,"Maybe if it had 60, 90,80, 360 turning point ",Strongly disagree,Strongly agree,"Honestly I am not sure , I did not really see any errors ",Somewhat agree,23,Female,"Everyday, during a majority of business hours",Once or twice a week,"Pac man , cooking games , card games ",A trackpad,,Trackpad buttons,its just a basic trackpad ,Maybe if it can also be controlled using arrows on the keyboard,Strongly agree,Strongly agree,Somewhat agree,,s7N0lpHjqDbxzbiu0PMovUnJcXq1,-MHO1nWsFgGBqu9xTx_2,targetdrag,click,targetdrag-click
208,5,2,2,2,3,2,2,4,1,2,3,Somewhat agree,6,Strongly agree,6,Strongly agree,2,I have no idea,Strongly agree,I have no idea,Strongly disagree,Strongly agree,Not sure,Somewhat agree,59,Male,"Everyday, during a majority of business hours",Once or twice a week,strategy,A mouse,mouse,Mouse buttons,,Unsure,Somewhat agree,Somewhat disagree,Strongly disagree,no idea,sKWxFck8oNaFhlZyhrfzbagZ1rd2,-MHO8dXK_4PQ1yf2uGAs,targetdrag,click,targetdrag-click
209,7,7,7,4,4,6,7,1,2,4,3,Neither agree/nor disagree,1,Somewhat disagree,1,Neither agree/nor disagree,7,Make it respond quicker,Neither agree/nor disagree,I'm unsure,Neither agree/nor disagree,Somewhat disagree,I don't know but something that would make it stop quicker,Somewhat agree,31,Female,"Everyday, during a majority of business hours",Rarely,none,A mouse,,Mouse buttons,,,Neither agree/nor disagree,Somewhat agree,Somewhat agree,,t0D0D527RmQum2KP1T9PUNgG95U2,-MHO8LjrdVWEF5Y3yrXE,panel,click,panel-click
210,2,2,2,2,2,3,2,4,2,2,2,Somewhat agree,6,Strongly agree,6,Strongly agree,2,allow keyboard use with trackpad and mouse,Somewhat agree,mouse sensitivity is important to be adaptable,Strongly disagree,Strongly agree,allow rotating and lateral movement simultaneously,Strongly agree,37,Male,"Everyday, during a majority of business hours",Rarely,sports,A mouse,trackpad and mouse,Mouse buttons,,keyboard inputs and hotkeys,Strongly agree,Somewhat agree,Somewhat agree,dotted line extending beyond arrow,tdJoXWRiahhLpGqYrtFTqDOnXci1,-MGsya1WltPIGCtkZHEg,arrow,press/release,arrow-press/release
211,4,1,1,4,4,4,4,7,1,1,4,Strongly agree,7,Strongly agree,7,Strongly agree,4,n/a,Strongly agree,The interface be improved to allow faster control of the object by allowing the user to use arrow keys and also another key for rotations.,Strongly disagree,Strongly agree,n/a,Neither agree/nor disagree,27,Male,"Everyday, during a majority of business hours",Once or twice a week,horror,A mouse,n/a,Mouse buttons,n/a,n/a,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,n/a,tuRUp4dzKffM4vIKCyndDw78OQz2,-MHO7Zz0Fww21m20kgVm,panel,press/release,panel-press/release
212,5,5,5,3,3,3,5,5,3,2,6,Somewhat agree,3,Strongly agree,3,Strongly agree,2,I don't have any suggestions on how it can be improved,Somewhat agree,Although it was fast sometimes I felt like I clicked but then when I went to rotate it was just black and not rotating. I would have to click again to set the object a couple times before I could rotate it.,Somewhat disagree,Somewhat agree,I'm not sure how to improve on the errors. It allowed me to fix my errors fairly quickly.,Neither agree/nor disagree,40,Female,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,no suggestions,Strongly agree,Strongly disagree,Strongly disagree,I don't have any specific suggestions,uKTOgqSB2NRog8DOR70HVCCPk032,-MGypTh76S3xxksYfZ9v,targetdrag,click,targetdrag-click
213,7,6,6,7,5,5,6,6,6,6,7,Strongly agree,6,Strongly agree,6,Strongly agree,6,good,Strongly agree,good,Strongly agree,Somewhat agree,nothing,Strongly agree,55,Female,"Everyday, a few hours","Everyday, a few hours",play game,A mouse,good survey,Mouse buttons,good,good,Strongly agree,Strongly agree,Somewhat agree,good,uUQ0xp4rkNOuUIn75GJG4Jd6XS63,-MGyw_WaKDvtwZiB9QOn,target,click,target-click
214,1,1,1,1,1,1,1,2,1,1,1,Somewhat agree,7,Strongly agree,6,Strongly agree,1,Good the way it is,Somewhat agree,"I don't really know, I think it is fine the way it is.",Strongly disagree,Strongly agree,They are perfect as they are,Somewhat agree,34,Male,"Everyday, during a majority of business hours",Rarely,Solitaire,A mouse,I use an optic mouse.,Mouse buttons,the mouse I use has a right and left click button,It is good the way it is.,Strongly agree,Strongly disagree,Strongly disagree,I think the way the controls are set up are extremely user-friendly.,xznswhiz8mfolqDXdoi619f9hyE2,-MGyqW71NEsx1M4jQryV,panel,press/release,panel-press/release
215,5,6,4,6,5,6,5,6,5,5,5,Somewhat agree,6,Strongly agree,5,Somewhat agree,6,good,Somewhat agree,good,Somewhat agree,Somewhat agree,nothing,Strongly agree,30,Male,"Everyday, a few hours","Everyday, less than an hour",good,A mouse,very nice,Mouse buttons,good,good,Somewhat agree,Strongly agree,Somewhat agree,good,yIrDZKrcI9ZyNcrF4H2tgSj4iVE3,-MHOHfFxpFugfu-WKlZp,panel,click,panel-click
